initial_soc_kWh,normal_cost_yuan,emergency_cost_yuan,realized_total_cost_yuan,emergency_kWh,emergency_slot_count,emergency_day_count,paid_unused_normal_kWh,pv_curtailment_kWh,battery_throughput_kWh,SOC_min_kWh,SOC_max_kWh,SOC_end_kWh,fallback_count,delta_total_cost_yuan,delta_total_cost_pct,delta_emergency_kWh,delta_normal_cost_yuan,delta_emergency_cost_yuan
4000,13334358.47060402,5143879.577697733,18478238.048301753,1063979.2772653003,6730,308,2194867.830436683,1735422.5401960749,10217116.461600311,1200.0,10800.0,1200.0,0,952.6777777783573,0.005155940164771842,0.0,952.6777777783573,0.0
6000,13333405.79282624,5143879.577697733,18477285.370523974,1063979.2772653003,6730,308,2195145.608214461,1735144.7624182971,10214894.23937809,1200.0,10800.0,1200.0,0,0.0,0.0,0.0,0.0,0.0
8000,13332456.376159575,5143879.577697733,18476335.95385731,1063979.2772653003,6730,308,2195199.1959260628,1735091.174706695,10212672.017155867,1200.0,10800.0,1200.0,0,-949.4166666641831,-0.005138290867005534,0.0,-949.4166666660458,0.0
